日期,当年市盈率
2025-04-12,25.47
2025-04-20,25.29
2025-04-22,24.64
2025-04-24,25.95
2025-05-16,29.97
2025-05-17,30.28
2025-05-20,30.16
2025-05-21,30.09
2025-05-22,29.55
2025-05-23,29.65
2025-05-24,29.53
2025-05-25,40.82
2025-05-25,40.82
